TOT_POP,White-alone pop,MEDHHINC_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),Population Aged 60+,COUNTY_NAME,STATE_NAME,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
142067,133931,48809,320.5,2.207480327,38502,1401,38,35.6,12.4,27.72917003948841,1,31.002977468377598,8136,14.85
82029,75240,43328,255.0,0.884782764,20816,701,33,37.1,14.0,27.069694864011506,2,33.81730851284302,6789,21.35
24842,24219,38572,263.4,0.770366236,7413,733,48,39.1,15.6,30.025762821028902,1,27.827872152000644,623,25.1
31280,30227,51487,230.8,0.617010651,8461,532,14,31.9,13.2,27.97314578005115,1,31.812659846547316,1053,16.55
6993,6783,54658,218.2,0.261449965,2030,244,15,37.0,11.6,31.05963105963106,1,40.35464035464035,210,16.0
48305,33425,39545,265.2,0.492136957,12035,35,9,37.4,15.6,26.160852913777045,2,31.67995031570231,14880,33.5
64265,61469,56694,375.1,0.545894786,17940,438,32,29.0,11.0,30.039679452267954,1,44.48611219170622,2796,14.85
35438,31180,63631,216.2,0.605374386,4899,1670,44,36.2,10.7,15.813533495118234,2,30.04684237259439,4258,12.85
17673,16316,42862,263.2,0.199186516,5697,1715,46,37.2,15.2,34.4593447631981,2,34.0689186895264,1357,21.799999999999997
12166,11198,48814,224.8,0.221686724,3164,1589,43,37.5,15.1,27.280946901200064,1,32.311359526549396,968,24.75
11627,4438,43533,263.2,0.131044057,2403,1702,46,41.1,16.7,21.29526103036037,2,26.51586823772254,7189,26.95
4989,4868,51058,302.7,0.11291798,1693,897,23,36.5,12.1,34.515935057125674,1,34.21527360192423,121,15.75
35451,17966,40285,191.3,1.175159466,7858,47,24,39.7,16.6,24.8991565823249,2,28.484386900228486,17485,33.099999999999994
31490,28763,39522,330.2,0.79995278,9959,64,19,35.0,13.0,33.17243569387107,2,36.51635439822166,2727,25.950000000000003
9338,5949,47412,240.4,0.603315443,2183,1441,41,35.8,13.8,24.70550439066181,2,30.57399871492825,3389,27.799999999999997
15761,14808,53811,218.2,0.589262534,4425,379,15,37.8,12.0,28.51976397436711,1,38.144787767273655,953,16.6
22061,16013,45408,207.6,0.644154189,5000,117,3,32.8,11.8,22.41965459408005,2,35.048275236843295,6048,25.75
36644,30102,63681,263.2,0.413002359,9382,194,46,32.4,12.2,27.409671433249645,2,36.554415456827854,6542,12.2
25413,23659,48589,287.0,0.366096751,8824,842,22,36.2,14.0,36.72136308188722,1,40.11332782434187,1754,25.0
22036,19817,46365,278.8,0.269031586,8028,1768,47,39.0,14.5,41.064621528408054,1,42.99782174623344,2219,20.55
54402,52593,45510,263.2,0.613146882,15381,64,46,32.5,12.4,30.419837505974044,1,38.07580603654277,1809,18.85
136349,129175,87377,302.7,3.086040028,22152,623,23,33.4,8.1,18.00966637085714,1,40.897989717563014,7174,4.15
18743,17067,41700,244.8,0.366733192,3425,1053,31,33.8,10.9,19.521954863148906,1,29.749773248679507,1676,28.3
55933,49943,62657,320.5,0.869103994,15643,54,38,32.3,12.1,30.77431927484669,2,42.93172188153684,5990,14.6
44593,42814,57193,230.8,0.87961496,10052,58,14,38.0,12.9,24.36256811607203,1,31.278451774942255,1779,15.65
3028,2636,32597,224.8,0.055175686,955,388,43,41.5,19.9,30.184940554821665,2,32.39762219286658,392,37.349999999999994
37517,26568,47380,287.0,0.54046558,8659,843,22,40.1,12.6,24.732787802862703,4,37.92680651438015,10949,21.35
416075,371060,81061,303.4,6.05638587,94656,1358,37,27.2,9.6,25.04933004866911,1,49.380760680165835,45015,7.65
6842,6672,46832,273.1,0.13624917,1916,117,25,35.3,13.0,28.164279450453083,1,28.705057000876938,170,22.95
406892,306705,48370,287.0,5.86163928,93094,846,22,35.8,12.6,24.544105069649934,2,40.09319426285108,100187,27.35
58266,52684,49220,273.1,1.160288532,13667,145,25,35.1,12.3,24.909895994233345,1,35.10795318024233,5582,22.05
4421,3872,44290,230.9,0.103886132,1387,717,17,39.0,18.8,32.798009500113096,2,28.930106310789416,549,26.6
49980,38497,38709,206.7,1.584421717,11673,1335,36,37.8,14.6,24.425770308123248,3,28.495398159263708,11483,29.1
42929,40111,58465,218.2,1.605002939,9608,607,15,38.7,10.5,23.196440634536096,1,35.174357660322855,2818,15.35
25339,23395,40395,273.1,0.504591891,4911,579,25,29.3,9.6,19.94553849796756,1,29.25135167133667,1944,19.25
23963,22279,30570,244.8,0.468869844,6445,1146,31,37.0,16.9,26.833034261152612,1,23.640612611108793,1684,38.599999999999994
414576,190259,52611,229.5,5.626481006,68651,524,40,36.3,11.0,18.174954652464205,2,42.157047200030874,224317,19.6
20455,17854,51812,206.7,0.648446303,3404,1026,36,35.2,12.4,16.94451234417013,2,29.528232705939867,2601,17.049999999999997
36219,33776,42282,287.0,0.521766742,8122,852,22,31.2,10.2,23.37999392584003,1,34.619950854523864,2443,14.5
215707,178681,75663,217.1,4.45723854,41610,58,0,32.7,10.6,21.50602437565772,2,47.77684544312424,37026,8.55
35761,33234,59323,284.4,0.524861864,9046,511,13,34.9,11.4,26.294007438270743,1,32.97726573641677,2527,15.600000000000001
53446,49563,56166,253.1,0.907870151,10824,1478,42,35.4,12.9,22.8660704262246,1,27.837443400815776,3883,18.799999999999997
