TOT_POP,MEDHHINC_2018,Total Hospitals (2019),Obesity_prevalence,diabetes_prevalence,Child_Poverty_Index
142067.0,48809.0,2.207480327,35.6,12.4,14.85
82029.0,43328.0,0.884782764,37.1,14.0,21.35
24842.0,38572.0,0.770366236,39.1,15.6,25.1
31280.0,51487.0,0.617010651,31.9,13.2,16.55
6993.0,54658.0,0.261449965,37.0,11.6,16.0
48305.0,39545.0,0.492136957,37.4,15.6,33.5
64265.0,56694.0,0.545894786,29.0,11.0,14.85
35438.0,63631.0,0.605374386,36.2,10.7,12.85
17673.0,42862.0,0.199186516,37.2,15.2,21.799999999999997
12166.0,48814.0,0.221686724,37.5,15.1,24.75
11627.0,43533.0,0.131044057,41.1,16.7,26.95
4989.0,51058.0,0.11291798,36.5,12.1,15.75
35451.0,40285.0,1.175159466,39.7,16.6,33.099999999999994
31490.0,39522.0,0.79995278,35.0,13.0,25.950000000000003
9338.0,47412.0,0.603315443,35.8,13.8,27.799999999999997
15761.0,53811.0,0.589262534,37.8,12.0,16.6
22061.0,45408.0,0.644154189,32.8,11.8,25.75
36644.0,63681.0,0.413002359,32.4,12.2,12.2
25413.0,48589.0,0.366096751,36.2,14.0,25.0
22036.0,46365.0,0.269031586,39.0,14.5,20.55
54402.0,45510.0,0.613146882,32.5,12.4,18.85
136349.0,81540.125,2.9057676592500004,33.4,8.1,4.15
18743.0,41700.0,0.366733192,33.8,10.9,28.3
55933.0,62657.0,0.869103994,32.3,12.1,14.6
44593.0,57193.0,0.87961496,38.0,12.9,15.65
3028.0,32597.0,0.055175686,41.5,19.9,37.349999999999994
37517.0,47380.0,0.54046558,40.1,12.6,21.35
153337.625,81061.0,2.9057676592500004,27.2,9.6,7.65
6842.0,46832.0,0.13624917,35.3,13.0,22.95
153337.625,48370.0,2.9057676592500004,35.8,12.6,27.35
58266.0,49220.0,1.160288532,35.1,12.3,22.05
4421.0,44290.0,0.103886132,39.0,18.8,26.6
49980.0,38709.0,1.584421717,37.8,14.6,29.1
42929.0,58465.0,1.605002939,38.7,10.5,15.35
25339.0,40395.0,0.504591891,29.3,9.6,19.25
23963.0,30570.0,0.468869844,37.0,16.9,38.599999999999994
153337.625,52611.0,2.9057676592500004,36.3,11.0,19.6
20455.0,51812.0,0.648446303,35.2,12.4,17.049999999999997
36219.0,42282.0,0.521766742,31.2,10.2,14.5
153337.625,75663.0,2.9057676592500004,32.7,10.6,8.55
35761.0,59323.0,0.524861864,34.9,11.4,15.600000000000001
53446.0,56166.0,0.907870151,35.4,12.9,18.799999999999997
15876.0,34297.0,0.218834115,41.0,18.4,35.400000000000006
153337.625,60044.0,1.924638999,34.1,11.6,13.3
8189.0,32715.0,0.163072852,37.1,16.0,36.45
11512.0,36132.0,0.336136305,43.2,19.3,35.05
4146.0,67220.0,0.197936806,38.7,13.1,12.9
17810.0,43696.0,0.520030194,37.3,14.4,22.0
5619.0,72451.0,0.102388435,34.9,11.1,10.100000000000001
153337.625,73619.0,2.9057676592500004,29.1,8.6,10.05
79388.0,46706.0,1.23355493,37.1,13.0,22.25
